Borrower_ID,Age,Annual_Income,Loan_Balance,Credit_Score,Monthly_Payment_Amount,Amortization_Ratio,Engagement_Recency,Delinquency_Status,Region,Primary_Channel,Loan_Type,SAVE_Tranche
9FDTT5Y,51,49601,36023,738,147,98.2,1-12mo,Current,MW,Agent,Consolidation,T7
698Y3RN,39,61999,6461,711,0,103.4,<30d,1-29,S,IVR,Federal,T8
QES1IBQ,59,53035,2637,526,0,106.4,>1yr,60-89,MW,Agent,Federal,T6
QLIIPUC,43,65861,0,706,108,104.6,<30d,Current,MW,Agent,Federal,T8
1NW9TR0,40,37519,67130,548,220,108.7,>1yr,30-59,S,Mobile,Consolidation,T3
PRHXPGF,63,49413,50257,718,188,96.2,Never,Current,W,Mobile,Federal,T5
TTZZZI9,32,54857,65624,682,305,106.5,Never,30-59,MW,Mobile,Federal,T2
FUHFD73,29,54209,13379,647,221,106.3,Never,90+,MW,Agent,Federal,T5
UQNBEVM,57,69814,26835,783,0,109.6,Never,90+,W,Agent,Federal,T3
T047EQX,62,18872,397,688,111,96.7,1-12mo,Current,NE,Mobile,Federal,T7
EI029Q7,69,56129,30595,563,214,102.5,1-12mo,Current,NE,Web,Federal,T7
F0CN3KY,47,29849,45073,693,55,103.0,>1yr,Current,NE,IVR,Federal,T6
2RV2XZ8,70,46290,30578,649,0,96.7,1-12mo,Current,S,Web,Federal,T7
JG6LJ3N,59,38131,84981,683,448,98.4,>1yr,60-89,NE,IVR,Consolidation,T4
86UB0ND,65,44093,50544,803,0,112.7,<30d,90+,NE,Agent,Federal,T3
IO23LUX,22,51823,36505,701,311,105.5,<30d,60-89,W,Mobile,Consolidation,T2
1SNXH6C,34,60250,56760,686,226,109.4,<30d,30-59,NE,IVR,Consolidation,T3
060TKW3,51,46623,46018,671,267,95.6,1-12mo,Current,MW,Mobile,Federal,T4
YTZ13XQ,24,76797,3559,675,80,110.7,<30d,30-59,S,Mobile,Federal,T3
1U9VTW8,53,43415,23660,706,398,98.4,>1yr,30-59,NE,Web,Consolidation,T4
S2N93NQ,69,36021,47814,763,115,110.5,<30d,90+,W,Agent,Consolidation,T3
EB9R26W,65,40480,61798,656,233,108.6,<30d,30-59,S,IVR,Federal,T3
NFOLA9B,39,67103,32340,585,366,108.9,>1yr,60-89,S,Agent,Consolidation,T1
9R4Z33N,56,74735,21606,670,231,102.3,>1yr,Current,S,Web,Federal,T6
C3AMER5,70,55406,8005,661,67,99.8,>1yr,Current,MW,Web,Federal,T6
XAQSEZH,61,88408,90391,602,15,102.7,<30d,Current,MW,IVR,Federal,T8
9A26HNU,42,52450,71872,594,315,102.2,1-12mo,30-59,W,Web,Federal,T4
5CJDTEU,57,50411,22607,671,55,103.2,Never,Current,NE,Web,Federal,T5
GC2YW7I,67,31149,83985,628,427,107.8,>1yr,30-59,W,Mobile,Federal,T2
BRJWEI7,52,66389,40850,790,59,111.6,1-12mo,60-89,W,IVR,Federal,T3
JLKBJEC,26,68600,20425,610,110,103.8,1-12mo,Current,MW,Web,Federal,T7
E8T3V0G,38,45636,38777,611,0,103.0,1-12mo,Current,NE,IVR,Federal,T7
MHWFP0O,40,63335,15558,574,517,98.9,1-12mo,60-89,MW,Mobile,Consolidation,T4
KIACJER,24,41385,38980,716,22,101.2,1-12mo,Current,MW,Agent,Federal,T7
6XP6LXH,33,63642,57638,683,56,101.1,>1yr,Current,NE,Mobile,Consolidation,T6
RF6HWOZ,69,27732,53045,801,0,98.0,>1yr,Current,MW,Mobile,Consolidation,T6
DYTM3YY,62,50879,29254,703,92,100.4,1-12mo,Current,W,IVR,Consolidation,T7
J07DBHE,27,52141,41385,558,634,96.1,Never,30-59,MW,Agent,Federal,T4
IEAAQNB,33,77625,51100,697,131,104.8,Never,1-29,W,Mobile,Consolidation,T5
MGZNVXE,46,42440,68142,613,144,95.2,<30d,1-29,W,Web,Federal,T8
7VHEB6B,69,82490,65987,658,282,101.2,<30d,Current,MW,Web,Consolidation,T4
W3907NV,29,39755,85209,691,319,112.3,Never,60-89,MW,Agent,Consolidation,T2
3JCC0AV,55,53573,29715,633,66,108.2,>1yr,30-59,NE,Agent,Consolidation,T3
3WXG6KT,51,57275,59482,684,394,115.0,<30d,30-59,MW,Mobile,Consolidation,T2
8AIKLC6,46,38475,21501,769,0,95.7,1-12mo,Current,S,Web,Federal,T7
O7WICRT,69,70996,65886,746,310,112.3,>1yr,60-89,NE,Web,Consolidation,T2
012OTBW,35,56848,44792,850,378,111.9,Never,90+,S,Web,Federal,T1
N65GKBO,65,67268,26335,727,228,104.4,1-12mo,Current,S,Agent,Federal,T7
MVPG0AL,55,30444,43459,572,122,113.7,1-12mo,60-89,MW,IVR,Federal,T3
CXNLLY6,30,84018,0,619,175,113.3,Never,30-59,S,IVR,Federal,T3
BQ6JQHF,39,44059,8232,657,204,97.3,>1yr,Current,NE,Agent,Consolidation,T6
EXA1ZXP,31,45626,51034,722,190,109.3,<30d,30-59,S,Mobile,Consolidation,T3
TLID3QN,22,45534,56133,654,448,107.0,1-12mo,30-59,NE,Agent,Consolidation,T2
WT7WA71,48,50753,36666,748,74,100.3,>1yr,Current,S,IVR,Federal,T6
RAK59RS,65,100370,85700,704,161,98.0,1-12mo,Current,S,Web,Consolidation,T7
2PJY8AY,27,59366,66757,782,231,110.2,1-12mo,30-59,NE,Mobile,Federal,T3
IKOCDTI,53,95157,44274,650,96,98.7,<30d,Current,MW,Web,Consolidation,T8
4IU6YXW,36,43199,38743,759,87,101.0,>1yr,Current,S,Agent,Federal,T6
LJK0DFB,57,102554,43744,605,136,107.7,>1yr,30-59,MW,Agent,Federal,T6
EI61V8D,58,42717,59704,603,143,103.2,1-12mo,Current,NE,IVR,Federal,T7
WE8T9RK,64,73105,31153,631,143,99.8,Never,Current,NE,Agent,Consolidation,T5
CQNNP9L,26,58352,91520,723,170,97.4,1-12mo,Current,MW,IVR,Federal,T7
75P8V9T,64,41382,105467,715,330,109.6,Never,60-89,W,Agent,Federal,T2
FVO2Y8M,66,32095,6518,623,173,109.9,>1yr,60-89,MW,Mobile,Federal,T3
YPIAJIA,59,27572,0,532,30,111.0,>1yr,30-59,W,Mobile,Consolidation,T3
MZGVZ68,44,36618,62144,605,0,95.1,Never,Current,S,IVR,Federal,T5
GEA1G2X,67,115050,57612,583,450,107.0,Never,90+,W,Web,Consolidation,T2
8910O4A,54,67240,32411,680,264,98.7,Never,Current,W,Agent,Consolidation,T4
7H7JZV6,26,64356,14487,697,0,113.6,<30d,30-59,W,Web,Federal,T3
KYM3VD5,38,50718,24357,643,384,106.4,1-12mo,60-89,S,Mobile,Federal,T2
A5H7Y9V,63,44666,92999,651,245,101.2,Never,Current,MW,Agent,Federal,T5
52YOFVZ,49,71669,9034,683,97,99.6,<30d,Current,NE,Agent,Consolidation,T8
ALTXJPW,37,62872,0,707,0,101.6,1-12mo,Current,MW,IVR,Federal,T7
2BDT0I7,66,69130,34531,712,175,106.2,<30d,30-59,W,Agent,Consolidation,T8
CJ8G88R,41,42680,69379,657,310,105.0,<30d,30-59,NE,Mobile,Federal,T4
MENRRD6,57,68876,65124,806,210,110.3,Never,90+,S,Agent,Consolidation,T3
URSJY52,59,15000,43665,692,0,109.2,>1yr,60-89,W,Agent,Consolidation,T3
8EI6OQU,36,44941,72925,713,0,96.8,1-12mo,Current,MW,Mobile,Consolidation,T7
T1GX657,52,60515,24264,715,186,103.1,1-12mo,Current,NE,IVR,Federal,T7
7FNIC92,62,65634,87138,695,243,96.5,<30d,Current,S,Web,Federal,T8
H4PA0EJ,22,56122,39639,728,227,105.6,1-12mo,30-59,S,Agent,Consolidation,T7
DT0ZAST,63,74215,22576,685,125,109.2,1-12mo,60-89,NE,IVR,Federal,T3
8NPK52H,42,61264,45140,669,0,98.7,<30d,Current,MW,IVR,Federal,T8
GKATFHO,47,62522,62741,601,85,114.5,>1yr,60-89,NE,Agent,Federal,T3
Z92JUS3,42,96103,39148,598,45,102.4,1-12mo,Current,NE,Mobile,Consolidation,T7
PKB2Q9W,43,70424,25616,685,120,102.9,1-12mo,Current,S,Agent,Consolidation,T7
RXV4ZRQ,50,15000,37046,588,127,104.2,1-12mo,1-29,NE,IVR,Consolidation,T7
VJEKRTX,67,42029,69553,814,25,100.3,<30d,Current,W,Web,Federal,T8
24UHI0Q,46,67941,67575,819,93,103.6,1-12mo,Current,W,Mobile,Federal,T7
I42M67L,36,78002,180,646,40,103.2,>1yr,Current,S,Mobile,Consolidation,T6
HNVJ5T9,23,83826,51615,728,288,98.4,>1yr,Current,S,Agent,Federal,T4
04V57CZ,62,28135,39497,566,132,114.3,Never,60-89,S,Agent,Federal,T3
MMPCUU6,23,50512,32280,783,475,109.8,>1yr,30-59,MW,Agent,Consolidation,T1
AKKX2T1,51,42796,45406,728,308,108.2,Never,60-89,W,IVR,Federal,T2
BF8BGM8,56,37435,63198,629,32,106.1,1-12mo,30-59,NE,Mobile,Federal,T7
4WF7N7N,58,78724,24064,646,396,114.1,Never,30-59,W,Agent,Consolidation,T1
KXSWVGW,49,42725,59033,750,172,95.5,>1yr,Current,MW,Agent,Consolidation,T6
DJAQ21Z,29,44516,39934,755,241,102.7,Never,Current,MW,Web,Federal,T5
4P5WG7W,67,54611,41015,619,451,97.7,>1yr,60-89,NE,Web,Federal,T4
WXRT687,22,25914,56472,564,302,95.2,>1yr,30-59,NE,Agent,Consolidation,T4
PSFGWLS,52,39513,106620,629,70,113.7,<30d,60-89,NE,Agent,Consolidation,T3
7YDFNBO,37,37780,40568,642,20,107.1,1-12mo,90+,NE,IVR,Federal,T7
W9Z4B5U,58,67436,43647,726,45,103.6,<30d,Current,W,Web,Federal,T8
5WW9UR0,52,26531,18533,834,273,110.7,<30d,60-89,MW,IVR,Consolidation,T2
K975UFH,22,90874,35633,649,171,108.6,Never,30-59,MW,IVR,Consolidation,T3
Z26B7FV,53,48136,63293,550,46,110.9,Never,30-59,S,Web,Federal,T3
5R2M12M,34,50704,40587,595,372,101.1,>1yr,30-59,MW,Agent,Consolidation,T4
B9MV1U2,26,60447,26701,818,203,113.4,<30d,30-59,W,IVR,Federal,T3
D4BQK2M,60,19139,73313,664,0,111.0,Never,30-59,MW,Web,Federal,T3
PRFVM0W,60,55678,60647,764,534,103.6,>1yr,30-59,W,Mobile,Federal,T4
QJNL42T,37,73134,28633,683,0,102.2,Never,Current,NE,IVR,Consolidation,T5
2RN59FV,54,38291,47300,607,188,100.2,1-12mo,Current,S,Web,Federal,T7
IFOFRCV,61,67133,41619,643,0,95.5,<30d,Current,NE,IVR,Consolidation,T8
S80NMQS,68,49602,39383,718,148,113.8,>1yr,30-59,S,Agent,Federal,T3
JDMJD9M,62,65694,52667,719,280,110.4,1-12mo,30-59,MW,IVR,Consolidation,T2
2YAAAWY,27,59871,64922,641,0,112.8,1-12mo,90+,MW,Agent,Consolidation,T3
495PVV7,24,45255,38756,610,136,108.3,1-12mo,30-59,NE,Web,Consolidation,T3
HECC7EP,46,42970,58115,656,195,113.1,<30d,90+,S,Web,Consolidation,T3
2O5KEYU,31,48951,45254,736,334,102.8,>1yr,60-89,W,Mobile,Federal,T4
9NB0DK8,24,75900,16540,723,109,106.3,>1yr,60-89,NE,IVR,Federal,T6
IBGN4NW,67,93679,17413,830,0,96.2,<30d,1-29,W,Web,Federal,T8
I6JCFSU,23,66570,36855,635,157,109.5,1-12mo,60-89,NE,Agent,Federal,T3
YLM6FOE,58,15000,55727,763,266,96.9,>1yr,Current,S,Web,Consolidation,T4
RX316OQ,29,40698,26982,678,323,112.7,<30d,30-59,S,Agent,Consolidation,T2
DYOBE74,68,46032,81036,701,371,114.6,>1yr,60-89,W,Mobile,Federal,T1
MSSPLG7,38,65746,2366,577,42,102.7,>1yr,Current,MW,Agent,Federal,T6
W2RL6F8,26,84835,29571,722,536,105.2,>1yr,90+,MW,Web,Consolidation,T2
7Y99O6A,26,54012,64537,598,186,103.3,1-12mo,1-29,MW,Web,Consolidation,T7
XZNEY5T,63,28610,100670,601,161,112.6,>1yr,30-59,NE,Web,Consolidation,T3
AKM7FS9,65,50126,42402,724,165,114.7,1-12mo,90+,W,Agent,Consolidation,T3
OUHP9P2,50,47969,69458,681,103,112.2,>1yr,30-59,W,Mobile,Consolidation,T3
OSI6EHD,40,68954,58397,620,324,99.2,>1yr,90+,W,Agent,Consolidation,T4
WJEPMCY,33,76841,19431,640,166,109.9,1-12mo,30-59,NE,Mobile,Federal,T3
F957KU4,64,67522,46277,633,0,108.6,1-12mo,30-59,S,IVR,Consolidation,T3
43LDQ8T,62,54577,35229,669,362,115.0,Never,30-59,W,Mobile,Federal,T1
RA5MPSA,55,57929,22046,621,101,99.1,1-12mo,Current,NE,IVR,Federal,T7
4ORJ18F,51,68729,64668,729,39,95.0,Never,Current,NE,Mobile,Consolidation,T5
UNK0TII,58,70070,62482,738,132,106.1,>1yr,30-59,S,Agent,Consolidation,T6
IJ7BM95,60,72261,55558,735,392,98.4,>1yr,60-89,NE,Agent,Consolidation,T4
OWMLOEU,45,15000,21410,587,285,113.5,<30d,30-59,W,Web,Consolidation,T2
NJYOAPR,58,43490,13908,698,50,102.2,<30d,Current,W,Agent,Federal,T8
KKRVUKH,41,54185,34404,790,237,114.1,<30d,60-89,W,Mobile,Federal,T3
UVH34HB,34,40529,29375,732,381,95.6,1-12mo,90+,S,IVR,Consolidation,T4
BQVZ0FB,45,59831,10125,733,295,114.3,1-12mo,30-59,S,Web,Consolidation,T2
R370Q6I,23,87551,50671,613,219,102.4,<30d,Current,W,Mobile,Federal,T8
PHIXS05,69,31250,41444,657,54,96.6,Never,Current,S,Mobile,Consolidation,T5
Q9ANRAJ,36,34960,11530,784,280,97.0,Never,Current,S,Mobile,Consolidation,T4
RWPHEFO,33,43578,19767,685,312,113.6,>1yr,60-89,MW,IVR,Consolidation,T2
L1E321B,64,15000,0,560,0,109.7,<30d,60-89,NE,Agent,Federal,T3
