Borrower_ID,Age,Annual_Income,Credit_Score,Loan_Balance,Delinquency_Status,Primary_Channel,Region,Loan_Type
MP5JHDT,65,31651,671,47060,30-59,Mobile,W,Consolidation
GT0R0VI,25,33956,781,0,60-89,IVR,NE,Consolidation
FFTOUHY,55,21167,617,29107,30-59,Agent,S,Federal
3MQWY2N,29,59080,639,29022,Current,Web,NE,Private
J6U9BL5,21,28279,727,26141,90+,IVR,MW,Private
3KH3H1G,26,75446,616,15047,60-89,IVR,S,Private
ODYD3UI,55,33904,703,3122,Current,IVR,S,Federal
R965R96,70,76550,666,39766,90+,Web,W,Consolidation
ITIZ7TF,47,48488,720,27496,30-59,IVR,MW,Consolidation
2V0MW40,43,61305,624,20339,30-59,IVR,MW,Private
XSLKGFZ,33,22569,680,29564,60-89,Agent,W,Private
SC74C5A,46,53203,699,31523,Current,Agent,W,Consolidation
XE4E5YW,46,80122,741,50183,90+,Web,W,Private
CNMJDO7,39,22061,713,10615,30-59,Web,S,Private
EKZ83Y0,40,12000,713,29574,30-59,Agent,S,Consolidation
8B543BB,71,90963,693,44831,Current,Agent,W,Federal
UGGJMQ6,41,13019,643,12273,1-29,IVR,S,Private
3K5B8SN,60,91486,701,28198,Current,Agent,S,Consolidation
2AWVSPY,67,70925,663,47707,1-29,Web,MW,Federal
XRUM2LH,46,28427,831,27476,60-89,Agent,W,Private
HZCD3GE,57,76373,704,15271,Current,Agent,NE,Consolidation
F2K5C3Z,72,63691,724,8267,30-59,IVR,S,Consolidation
ZYV9BIN,37,55586,737,0,60-89,Agent,NE,Consolidation
TQSYQQT,64,17218,653,44825,60-89,Web,W,Private
DVDXDF6,32,58323,677,16603,90+,Mobile,MW,Private
NPK270T,24,68179,705,2796,30-59,Agent,W,Consolidation
5UOFWB0,61,49475,700,0,1-29,Mobile,MW,Federal
JXT3CNR,61,17670,554,30051,30-59,IVR,S,Private
2ZQSV51,56,54194,741,0,1-29,Web,S,Private
KU2K5EB,30,38084,725,42160,90+,Mobile,NE,Federal
QPNRC3Z,72,56833,604,38047,60-89,Agent,NE,Private
Z9PAT3H,42,32940,720,33478,90+,Mobile,MW,Consolidation
AEHPITZ,42,40087,733,20020,1-29,Mobile,S,Private
JA1V2TG,46,114964,716,44416,Current,Mobile,S,Private
5AFQONY,74,71609,718,31386,Current,Mobile,MW,Federal
CVS3ZRB,23,57789,713,0,30-59,Mobile,W,Private
XU1OUBN,23,43446,630,8326,30-59,Mobile,NE,Private
N6Y830X,43,81715,746,26756,1-29,IVR,MW,Consolidation
ZXVKKZC,28,26291,685,0,1-29,IVR,MW,Private
HL2C53K,69,52905,658,22952,30-59,Agent,NE,Federal
YYJ47CC,40,101804,725,0,Current,Agent,MW,Consolidation
4X6VVWN,30,71733,679,182,Current,Mobile,W,Consolidation
RDU4XSZ,39,27183,702,15351,30-59,Web,MW,Private
YU98GFE,29,46770,610,44033,30-59,IVR,W,Federal
BRRNTYL,26,49314,642,36599,30-59,Agent,W,Consolidation
U9KDP5R,56,29370,724,42458,1-29,Mobile,MW,Federal
EPEKGVZ,70,75755,571,16815,30-59,IVR,S,Consolidation
HEZ74LA,32,56505,730,10333,30-59,Agent,MW,Private
ZASYWDR,66,53997,783,49386,1-29,Mobile,MW,Consolidation
8A906K3,53,22936,626,29289,90+,Agent,W,Consolidation
5V38N2U,43,66299,651,11160,1-29,Mobile,NE,Federal
7E6L8XC,28,36925,850,64282,60-89,Agent,W,Federal
WH8VLIG,73,75978,713,38816,90+,IVR,S,Consolidation
ESIRQ4T,74,12000,558,58142,90+,Mobile,MW,Private
NYWBTF4,54,24101,596,27706,90+,IVR,MW,Private
0AJBV6J,59,56205,674,3896,1-29,Mobile,S,Federal
DSTVAHM,23,64335,688,59701,Current,Mobile,S,Federal
PDU3NM0,52,35158,722,23827,Current,Web,NE,Private
RS6C4X5,48,47979,771,24276,90+,Mobile,S,Consolidation
ISZ514G,58,42458,704,2062,30-59,Web,W,Federal
9967ST8,55,74526,697,0,Current,IVR,W,Federal
AHNMOQD,30,30737,634,41750,1-29,Mobile,NE,Consolidation
49EKYK7,74,82130,679,31916,1-29,Agent,S,Private
4ZLDAJJ,60,103939,657,1206,1-29,IVR,W,Federal
C02ZKEH,65,77407,664,31849,1-29,Web,S,Private
09VS9KK,59,60107,588,7624,60-89,Web,S,Private
35X3X10,61,21174,718,15376,90+,IVR,W,Federal
2K6MU0D,70,40940,572,32450,30-59,Agent,NE,Consolidation
H33IC44,47,47816,767,0,30-59,Web,NE,Consolidation
GOI9WM1,39,15352,754,64804,1-29,Agent,W,Private
FUW48XL,56,17222,699,22734,60-89,Mobile,W,Federal
Y4A15F4,67,65321,763,52676,90+,Mobile,W,Private
BSEPR1B,33,56534,632,50271,30-59,IVR,MW,Federal
TH9KP6A,58,47909,580,6564,90+,Agent,W,Consolidation
56AG39B,47,37033,647,9515,1-29,IVR,NE,Federal
DY571VX,58,89213,706,23513,60-89,IVR,MW,Consolidation
VTXR6MS,26,77753,612,26761,90+,Mobile,NE,Consolidation
FIZ17YB,48,59712,635,9766,90+,IVR,S,Consolidation
U514DYM,40,113844,752,12475,Current,Mobile,S,Consolidation
T8J3AO8,24,65285,692,33109,30-59,Web,NE,Private
EX3Y5IX,31,23549,664,31263,30-59,IVR,NE,Consolidation
5X6E9D7,22,38061,593,44267,60-89,IVR,S,Private
P4NP00N,67,39111,630,8915,1-29,Web,MW,Private
QG77469,73,30305,672,52408,30-59,IVR,NE,Private
VK658OV,67,53496,665,30676,30-59,IVR,W,Federal
EDBPBX2,38,55838,671,37169,90+,IVR,MW,Private
9ZC2WOU,51,71873,705,47544,90+,Agent,MW,Federal
Y2RL4N7,65,79542,774,30508,60-89,Agent,W,Consolidation
FQX780T,42,34338,617,39244,30-59,Web,NE,Federal
0OAWHN2,27,72611,542,24645,30-59,IVR,NE,Federal
H7LZMCK,73,12629,659,19770,30-59,Mobile,S,Private
P8UW1U8,19,27979,698,36112,Current,IVR,MW,Private
UYH2W9O,48,60863,705,50411,1-29,Web,S,Federal
H3JI9PV,22,43591,594,0,30-59,Mobile,NE,Federal
XAW5NV1,31,58768,637,42472,60-89,Mobile,MW,Private
T780ICS,72,52448,755,8516,1-29,Agent,W,Federal
NTQX45J,51,89183,750,0,Current,Agent,S,Private
7PCHCBN,54,43164,733,9113,60-89,Web,NE,Federal
IMRSXKJ,34,24975,618,42296,30-59,IVR,S,Federal
Y4H03B2,48,33843,692,18653,Current,IVR,NE,Consolidation
60YUP1S,60,41472,592,49596,60-89,Agent,W,Consolidation
W48HMKN,47,32845,662,13974,1-29,Web,W,Federal
CD6XHMK,60,22275,737,44460,60-89,IVR,MW,Consolidation
VCHRM3W,53,31107,612,32249,60-89,Web,W,Private
4TW5S63,39,61983,719,4486,90+,Web,W,Consolidation
O2M71HS,37,28542,660,14349,90+,Web,MW,Consolidation
S5RMJPC,58,44647,755,55704,30-59,Mobile,MW,Consolidation
XTKXGY9,58,92039,689,35302,Current,Agent,MW,Federal
OSA6S9R,21,32412,623,34032,Current,Agent,NE,Private
2W0DKTS,46,80809,748,47905,60-89,IVR,MW,Consolidation
J5N860A,55,57860,634,0,60-89,IVR,W,Federal
TFLWEST,34,65985,674,55273,30-59,Mobile,W,Federal
COWEEVX,40,53834,675,0,30-59,Mobile,S,Federal
EPO772N,33,49783,709,37163,Current,Web,W,Consolidation
FPHG4BC,57,86071,722,37548,30-59,IVR,MW,Consolidation
U3M3TD7,31,50477,736,29748,60-89,Mobile,MW,Federal
LYFAY0X,35,51896,654,38286,60-89,Web,S,Private
OQ6PK5M,23,90079,682,0,Current,Web,MW,Federal
5ED5GGS,24,24652,673,37064,30-59,IVR,S,Federal
W5QQB5I,29,62154,704,4770,1-29,Web,S,Consolidation
1I3EYJ5,31,21910,729,16665,30-59,Web,S,Consolidation
HBVMDCD,74,66869,732,23916,30-59,Mobile,MW,Federal
ARQJW72,44,61894,620,53107,1-29,Mobile,NE,Consolidation
0SEJOKI,37,101762,692,8462,Current,IVR,MW,Federal
FY4DKV7,70,59672,762,23838,60-89,Agent,W,Consolidation
56JD1BP,44,43294,613,10256,30-59,Web,S,Private
AZH7PGS,62,45872,738,29066,30-59,Agent,W,Private
QRIQYE1,29,32109,805,16782,90+,Agent,MW,Private
5WWWOSL,59,58090,674,49904,90+,Web,NE,Federal
G5ZMTGA,70,45477,776,32079,Current,IVR,W,Private
LZOHFDD,52,61702,771,8712,1-29,Web,S,Federal
02XVXIT,38,22698,806,0,1-29,Mobile,MW,Federal
RV8VOYG,21,77025,630,40718,1-29,Web,MW,Private
2R83QSY,42,42420,671,16425,30-59,Agent,S,Consolidation
FLVQARJ,54,62863,772,10905,90+,Agent,W,Federal
M6XHIGX,43,26684,763,12603,60-89,IVR,MW,Federal
B2NIXI8,47,45184,628,54595,1-29,Agent,MW,Federal
2JXJCCH,62,24655,733,44229,30-59,Agent,W,Private
CGIZZM3,27,63173,626,39717,60-89,IVR,MW,Consolidation
Q8BZ53G,64,65244,605,49898,90+,Agent,W,Federal
Q5XCB7E,73,63000,771,31509,30-59,Web,NE,Private
LJFEDTE,18,18028,707,60243,60-89,Agent,MW,Federal
RUTF966,43,70064,734,46754,60-89,Web,MW,Consolidation
Y79KVLS,66,12000,675,1221,90+,Web,S,Consolidation
9FWVVSK,72,44196,746,12075,60-89,Mobile,W,Consolidation
P30TX8J,35,47072,654,35956,1-29,Web,S,Federal
FVSJW7T,47,70704,712,16180,30-59,Web,MW,Private
YE9PN93,37,94149,683,36717,Current,IVR,W,Federal
OOH1XAW,18,33587,709,11589,90+,Agent,S,Consolidation
IK7ZIEM,63,53886,645,45835,1-29,Web,S,Federal
IARN4FL,39,53635,710,11496,60-89,Mobile,NE,Private
UDMK3P6,41,57507,678,56185,60-89,IVR,MW,Consolidation
H41A68T,63,58531,565,365,90+,Web,S,Consolidation
K87322H,19,70942,714,19892,30-59,Web,S,Private
J5XFEUB,32,45691,647,22124,1-29,Agent,S,Federal
TCV1LTW,48,35106,691,0,90+,IVR,S,Private
M33MG1Z,38,84209,609,6566,30-59,Agent,W,Federal
DFRLW6J,18,52862,667,52170,90+,Agent,NE,Consolidation
JHB0NA7,25,64911,707,0,1-29,Agent,MW,Federal
68UUJ2G,75,45751,739,25944,Current,Agent,MW,Federal
3MUB6LB,65,12000,640,23744,Current,IVR,S,Private
L1YN4CB,44,49971,713,14621,1-29,Agent,S,Federal
5EGLKXG,18,52714,716,29214,30-59,IVR,NE,Federal
IF5Q9JU,38,88527,602,19286,60-89,Web,MW,Federal
6SF9NRM,41,67021,617,22784,30-59,Web,S,Consolidation
TFDX0UG,49,34622,670,14426,30-59,Web,NE,Federal
