TIME	MON	TUE	WED	THU	FRI	SAT
08:00	73.7%	66.8%	74.1%	77.7%	75.2%	
08:30	90.5%	85.9%	88.1%	90.4%	88.0%	
09:00	89.1%	82.7%	90.1%	88.3%	92.2%	
09:30	95.6%	95.0%	96.5%	92.2%	90.4%	
10:00	91.0%	91.0%	95.4%	94.6%	95.1%	82.7%
10:30	99.6%	101.3%	96.4%	99.4%	95.7%	103.0%
11:00	99.7%	96.7%	97.4%	97.4%	97.1%	100.6%
11:30	103.4%	100.9%	98.8%	98.4%	96.5%	100.1%
12:00	93.0%	97.3%	98.8%	99.1%	99.7%	99.4%
12:30	101.3%	111.4%	99.0%	96.4%	102.0%	101.4%
13:00	101.9%	93.4%	98.1%	100.6%	99.0%	101.1%
13:30	99.2%	96.7%	102.8%	97.5%	97.9%	101.3%
14:00	98.0%	101.7%	100.5%	95.9%	99.9%	
14:30	100.7%	99.5%	98.0%	102.4%	103.7%	
15:00	101.1%	101.1%	103.2%	99.8%	102.1%	
15:30	100.1%	99.7%	98.1%	97.6%	99.6%	
16:00	100.5%	100.9%	101.9%	100.7%	100.0%	
16:30	98.7%	103.0%	102.7%	102.3%	101.3%	
17:00	102.6%	106.9%	104.1%	106.5%	108.1%	
17:30	103.2%	101.2%	107.6%	111.7%	106.5%	
18:00	105.4%	105.0%	103.5%	105.4%	107.7%	
18:30	105.2%	107.3%	107.4%	105.0%	106.7%	
19:00	105.7%	109.0%	104.5%	117.5%	107.5%	
19:30	107.2%	111.2%	108.0%	113.9%	108.1%	
20:00	113.5%					
20:30	117.9%					
21:00	106.3%					
21:30	112.1%					
22:00	115.7%					
22:30	111.3%					
	522 	512 	508 	518 	518 	507 
