TIME	MON	TUE	WED	THU	FRI	SAT
08:00	1.4973%	1.0163%	1.2525%	1.2803%	1.2625%	
08:30	2.0478%	1.6176%	1.7644%	1.9248%	1.9040%	
09:00	2.8322%	2.9463%	2.7054%	2.9185%	2.8056%	
09:30	2.9120%	3.5350%	3.6249%	3.7893%	3.6510%	
10:00	4.0226%	4.6270%	4.2710%	4.6601%	4.2701%	9.8351%
10:30	4.4933%	4.7643%	4.8526%	4.8714%	4.7377%	11.6010%
11:00	4.6777%	5.0152%	5.0928%	5.1365%	5.1454%	13.0745%
11:30	4.2194%	5.3340%	5.4871%	5.4016%	5.6523%	12.8289%
12:00	5.4511%	5.5281%	5.4523%	5.5525%	5.5550%	12.5950%
12:30	5.4649%	5.4413%	5.4258%	5.4986%	5.6972%	12.6301%
13:00	5.1208%	5.2993%	5.9510%	5.4878%	5.6953%	12.9225%
13:30	4.9502%	5.4318%	5.6329%	5.2809%	5.6074%	11.9518%
14:00	4.8883%	5.2204%	5.1541%	5.1710%	5.1679%	
14:30	4.7603%	4.9474%	4.9950%	5.1774%	5.0426%	
15:00	4.6887%	4.7501%	4.6720%	4.6213%	4.9397%	
15:30	4.6639%	4.8685%	4.9006%	4.8433%	5.1660%	
16:00	4.7754%	4.8700%	4.5693%	4.8110%	5.0912%	
16:30	4.6337%	4.4566%	4.6488%	4.8239%	4.8761%	
17:00	4.3433%	4.3019%	4.0076%	3.9208%	4.1522%	
17:30	3.8451%	3.9090%	3.5404%	3.5889%	3.3966%	
18:00	3.2974%	3.4024%	3.4195%	3.3862%	3.1890%	
18:30	2.9698%	3.2162%	3.1362%	3.0435%	2.7177%	
19:00	2.5762%	2.6970%	2.5696%	2.1231%	2.1042%	
19:30	2.0285%	2.2346%	2.2763%	1.9766%	1.7039%	
20:00	1.6157%					
20:30	1.0514%					
21:00	0.8409%					
21:30	0.6014%					
22:00	0.4142%					
22:30	0.2656%					
	12,111 	10,561 	10,060 	9,279 	8,911 	1,425 
