TIME	MON	TUE	WED	THU	FRI	SAT
08:00	1.013%	-	0.404%	0.084%	0.346%	
08:30	0.579%	0.279%	0.269%	0.363%	-	
09:00	1.410%	2.264%	0.323%	0.746%	0.457%	
09:30	20.916%	16.983%	5.203%	2.624%	0.574%	
10:00	8.047%	4.874%	2.186%	1.111%	0.362%	4.308%
10:30	4.295%	2.595%	1.804%	0.779%	0.376%	1.513%
11:00	3.285%	1.963%	1.014%	0.387%	0.993%	10.567%
11:30	29.873%	2.309%	0.372%	1.052%	1.272%	7.742%
12:00	7.713%	1.993%	0.959%	1.163%	1.047%	37.815%
12:30	1.686%	3.955%	1.710%	0.752%	1.303%	29.646%
13:00	1.196%	4.195%	2.714%	0.876%	0.895%	5.903%
13:30	1.837%	1.266%	1.041%	0.957%	1.166%	1.717%
14:00	1.191%	0.975%	0.910%	1.043%	1.247%	
14:30	1.112%	4.628%	0.839%	1.460%	5.766%	
15:00	0.693%	14.448%	5.718%	5.670%	12.171%	
15:30	1.066%	21.957%	7.953%	4.271%	21.521%	
16:00	1.009%	5.688%	3.992%	1.862%	11.552%	
16:30	0.976%	0.666%	2.215%	0.786%	4.133%	
17:00	3.491%	0.913%	4.134%	7.794%	6.230%	
17:30	1.159%	2.222%	13.600%	18.824%	11.559%	
18:00	0.696%	0.894%	17.858%	17.798%	9.830%	
18:30	0.649%	1.663%	12.619%	6.743%	2.955%	
19:00	0.404%	2.157%	6.253%	8.929%	2.153%	
19:30	0.924%	0.973%	5.810%	12.914%	1.766%	
20:00	0.567%					
20:30	0.658%					
21:00	1.647%					
21:30	1.674%					
22:00	0.139%					
22:30	0.098%					
	148 	103 	177 	210 	185 	19 
